! RTTOV coefficent file for noaa-17  avhrr
 ! -------------------------------------------------------
IDENTIFICATION
!
 1 17 5   ! platform sat_id instrument numbers
 noaa-17  avhrr
 ir           ! sensor type [ir, mw, hi ]
 7                        ! RTTOV compatibility version
 Creation by rtcoef_gen_rttov7.scr at CMS Lannion
 2002 04 29       ! creation date
 ! -------------------------------------------------------
LINE-BY-LINE
!
 GENLN2            ! line-by-line
 HITRAN96          ! spectroscopic database
 CKD2.1            ! Water Vapour continuum
 2                 ! Profile datasets
 TIGR-43           ! dataset name
 43 2 43 6         ! profiles gases levels secants
 NESDIS-34         ! dataset name
 34 2 43 6         ! profiles gases levels secants
 ! -------------------------------------------------------
FAST_MODEL_VARIABLES
 ! 
 !Predictors MATRICARDI 2000
 RTTOV7            ! fast model name
    3              ! Number of channels described in the coef file
    3              ! Number of gases described in the coef file
 Mixed_gases       ! gas identification
   10  43          ! variables/predictors  levels (pressure/absorber)
 Water_vapour      ! gas identification
   15  43          ! variables/predictors  levels (pressure/absorber)
 Ozone             ! gas identification
   11  43          ! variables/predictors  levels (pressure/absorber)
 ! ------------------------------------------------------
FILTER_FUNCTIONS
 ! 
 ! Channel Number (from instrument original description)
 ! Channel status 
 ! Central Wavenumber
 ! Band Correction coefficients(Offset,Slope)
 ! Gamma correction factor
   3   1   0.2669399248E+04   0.1698367748E+01   0.9974041170E+00   0.1000000000E+01
   4   1   0.9263464472E+03   0.2831875566E+00   0.9987736462E+00   0.1000000000E+01
   5   1   0.8398728557E+03   0.3193802713E+00   0.9989953540E+00   0.1000000000E+01
 ! -------------------------------------------------------
FILTER_RESPONSE_FUNCTIONS
 ! this section is for information only
 ! following response functions where used to create the convolved transmittances
 ! 
 ! README file for Noaa-17 AVHRR filter functions (AVHRR-304)
 ! P. Brunel April 2002
 !
 ! Reference for the document are A304-45.doc 8172845 Rev. C
 ! The original documentation has been provided by Jerry Sullivan NESDIS
 ! (jerry.t.sullivan@noaa.gov) it consist of a MSWORD document A304-45.doc 
 ! (section 4 only) (refernce 8172845 Rev. C). 
 !
 !The filters have been extracted from values inside this document and 
 !converted in 2 columns format. No correction has been made 
 !except cut of wings and following correction of channel 3B
 !
 !Channel 3B presents filter response values of 0 for some points evenly
 !spaced of 102.5cm-1. They have been replaced by nearest value 
 !(agreement with Jerry)
 !  wvn:  2479.0  2581.5  2684.0  2786.5  2889.0
 !
 ! Cut of response values in cm-1
 ! Channel 3B   2440 2950   5101 points
 ! Channel 4     840 1000   1601 points
 ! Channel 5     790  890   1001 points
 !
 !
 !
 !
03, NOAA-M AVHRR CHANNEL 03
5101
   2440.00     0.000
   2440.10     0.000
   2440.20     0.000
   2440.30     0.000
   2440.40     0.000
   2440.50     0.000
   2440.60     0.000
   2440.70     0.000
   2440.80     0.000
